GeneID	PI	Tajimas_D
AT2G18750 0.00397796817625459 -2.0549496079661536
AT2G19010 0.0011196332539892444 -1.1786783149629096
AT2G19050 0.0018071494525788154 -0.4694152923394008
AT2G19060 0.0009491814642990455 -1.4215085866805426
AT2G19070 0.003796442607673919 -1.370004727262739
AT2G19080 0.002385964912280702 -0.16080597239712105
AT2G19090 0.0004669634284716767 -1.41104112139416
AT2G19110 0.0008302340433524926 0.10665581646616726
AT2G19130 0.00075344415971264 -0.6642634573162516
AT2G19150 0.0009361969947289748 0.2602635515234358
AT2G19160 0.00038840883302784324 -1.1913505634347155
AT2G19170 0.0002987622705932565 -2.1214442400951596
AT2G19490 0.0022236842105263156 0.17839032109739614
